sub_id,group_id,t1_pa,t1_pc,t1_im,t2_pa,t2_pc,t2_im,t3_pa,t3_pc,t3_im
S101,1,4.4,2.4,5.29,4.8,3.8,5.29,4.8,4.2,4.71
S102,1,5,3.8,5.71,5.1,5,6.43,5.1,5,6.29
S103,1,3.4,2.4,4.14,4.2,2.4,4.86,3.8,2.2,4.57
S104,1,4.2,3.2,3.29,4.5,3.2,3.71,4.9,3.6,3.29
S105,1,6.3,6.2,6.71,6.7,6.6,7,6.4,6.4,7
S106,1,3.3,2.2,3.29,3,1.8,3.71,2.7,1.6,3.57
S107,1,4.2,5.2,5.43,4.2,5.6,6,3.7,5,4.43
S108,1,3.9,2.6,4.71,4.4,3,4.57,4.3,3,4.57
S109,1,5.4,4.2,5,5.7,4.6,5.43,5.4,4.4,4.86
S110,1,5.5,5.2,6.43,6,6.4,5.86,6,5.4,6.14
S111,1,4.6,4.8,6,4.2,6.6,6.71,4.3,6.6,6.71
S112,1,5.5,5,4.71,6.5,6.4,6.14,6.5,6.2,6.29
S113,1,4.1,4,6.29,5.4,5.4,6.43,4.2,5.2,6
S114,1,5.8,4.6,2.71,5.5,5.2,3.57,5.4,5,3.14
S115,1,4.7,3.4,4.57,5.4,4.6,5.29,4.9,4.2,4.86
S116,1,5,3.4,5.57,6.2,5,6.71,5.6,4.6,6.29
S117,1,5.3,5,4.86,4.3,5,5.14,4.6,4.2,4.57
S118,1,4.3,2.8,4.71,3.6,2.8,3.86,4.1,2.8,4
S119,1,6,6,6.57,5.5,6,6.43,6,5.8,6
S120,1,5.8,4.2,5.86,6,5.6,6,5.8,5.4,6
S121,1,4.9,3.4,5,5.1,4.2,5.57,5.1,4.2,5.57
S122,1,4.1,4.6,4.57,4.4,5,3.86,4.6,5,3.86
S123,1,5.4,4.6,5.71,5.3,5.6,6.29,5.1,5.8,6.29
S124,1,5.7,5,5.71,5.5,5,5.14,5.4,5.2,5.43
S125,1,6.1,5.6,6.14,6.3,6,6.29,6,5.6,6.14
S126,1,5.7,4.2,5.29,5.5,5.2,4.71,5.5,4.6,4.86
S127,1,6,4.6,6.57,6.3,4,7,6.1,4.6,6.71
S128,1,5.3,4.8,4.71,5.9,4.8,5.57,5.2,4.8,5.14
S129,1,5.3,4.2,4.71,5.8,5.4,5.71,4.9,5.4,4.14
S130,1,4.6,5.4,5.86,5.7,5.6,5.71,5.3,4.8,5.57
S131,1,5.7,4,5.43,5.7,3.2,5.86,5.6,3.2,6
S132,1,5.8,3.4,6.14,5.7,3.4,6.29,5.8,3.6,6.29
S133,1,5.8,4.4,6.14,6,5.2,6.57,6.3,5.6,6.86
S134,1,4.3,4.2,4.57,4.3,3.4,5.14,3.9,3.4,4.29
S135,1,4.1,2.8,1.86,4.2,2.8,1.57,3.9,2.4,1.14
S136,1,4.4,2.6,5.29,4.5,2.4,5.43,4.6,2.2,5
S137,1,3.7,4.8,4.71,3.9,3.6,4.57,4,2.6,4.29
S138,1,3.8,3.2,5,4.6,4.2,4.71,4.4,4.2,5
S139,1,4.2,3.8,4.14,4,4.8,3.71,4.4,5,4.43
S140,1,5.3,4.4,5.14,5.3,4.2,4.57,5.4,3.8,5
S141,1,4.7,3.6,5.14,5,3.8,4.57,4.7,4,5.43
S142,1,6.2,5,5,4.9,5.4,5.57,5.2,5.2,5.57
S143,1,4.7,2.8,4.86,5,3.4,5.71,4.6,2.8,4.71
S144,1,5.8,4.8,6.43,5.6,4.4,6.71,5.9,4,6.14
S145,1,4.9,4.4,4.43,4.8,4.4,4.14,3.9,3.8,3.57
S146,1,4.8,4,5.43,4.8,5.4,5.57,4.8,5.2,5.86
S147,1,5.5,4,4.57,5.5,4.4,3.57,5.3,4.4,3.71
S148,1,5.5,4.6,5.43,5.6,3.8,5.71,4.9,3.8,5.29
S149,1,4.4,5.6,5.57,3.7,6,5.71,3.7,6.2,5.71
S150,1,5.1,3,5,4.9,5,5.86,4.3,4.6,5
S151,1,5.3,3,4.86,4.7,3.4,4.29,3.9,3,4.14
S152,1,5.1,4,5.43,5,4,5.71,5.1,4.2,5.43
S153,1,4.1,3,3.86,4.8,4,5,4.6,3.6,4.71
S154,1,5.7,3.8,5.57,5.5,4.4,5.86,5.3,4.4,5.43
S155,1,5.1,3.6,5.71,5.1,4.4,5.86,5.3,4,6.29
S156,1,5,4.4,4.86,4.7,3.6,4.86,5.1,3.6,5
S157,1,3.6,2.8,4,3.8,3.2,4.14,3.9,3.6,4.71
S158,1,4.6,3.4,3,4.8,4.4,3.86,4.9,4.2,3.43
S159,1,5.6,4.8,6,5.6,5.2,6.14,5.3,4.6,5.29
S160,1,6.4,3.4,6.29,6.5,3.8,6.71,6.4,3.6,6.43
S161,1,3.2,3,4.14,3.6,3.2,4.29,3.3,3.2,4.29
S162,1,3.6,5.2,5.71,4.6,5.6,6.71,3.8,5.6,6.57
S163,1,4.1,2.8,5.86,4.9,3.6,6.43,4.5,3.6,6
S164,1,4.8,4.8,3.71,4.8,5,3.71,5.1,5.8,3.71
S165,1,3.5,4.2,6.29,4.1,4.6,5.14,3.5,4,4.43
S166,1,5,4.2,5.57,5,5.2,6.14,5.5,5.4,5.71
S167,1,4.8,5.2,5.86,5,5.6,5.43,4.9,5.2,5.14
S168,1,6,3.6,5,6.6,4.8,4.71,6.1,4.8,4
S169,1,5.7,3.6,3.29,3.8,4.4,3.14,4.2,4,2.71
S170,1,5.1,4.8,4.43,5.3,5.4,4.86,4.7,4.8,4.57
S171,1,3.8,4,5.14,3.5,4.4,4.71,3.7,4.4,4.86
S172,1,5.2,3.2,5.43,5.4,4.6,4.57,5.8,4,3.86
S173,1,4.7,4.8,4.29,6.5,4.6,6,6.6,4.8,5.86
S174,1,6.1,4.2,6,6.2,4,5.71,6.2,4.8,5.86
S175,1,4.6,3.8,4.14,4.9,3.4,3.57,4.7,3.8,3.14
S176,1,5.5,4,5.86,5,3.8,4.57,5.1,4.6,4.29
S177,1,6.5,5.2,6.43,5.6,5,5.57,5.9,5.2,6.29
S178,1,4.6,4.6,6.29,4.3,4.6,6.14,4,4.4,6.14
S201,2,4.9,4,4,4.9,4,4,4.9,4.4,4.71
S202,2,4.9,5.2,5.86,4.9,5.2,5.86,5.2,5.8,5.71
S203,2,4.4,4.6,5.57,4.4,4.6,5.57,4.9,4.2,6.29
S204,2,4.1,4,5.71,4.1,4,5.71,3.4,3.4,4.71
S205,2,4.8,4.6,6.14,4.8,4.6,6.14,3.9,5,5.14
S206,2,4.9,4.6,5.29,4.9,4.6,5.29,6.3,5.4,6
S207,2,5,3.4,5.43,5,3.4,5.43,4.4,4,5.71
S208,2,4.6,4.4,6.43,4.6,4.4,6.43,5.5,5.2,6.57
S209,2,4.4,4.8,5.57,4.4,4.8,5.57,3.9,4.4,5.57
S210,2,4.8,4.6,4.57,4.8,4.6,4.57,4.3,4,4.57
S211,2,4.4,3.6,5.71,4.4,3.6,5.71,4.3,3.2,5.43
S212,2,3.3,3,3.14,3.3,3,3.14,3.8,4.4,2.86
S213,2,3.7,2.6,3.57,3.7,2.6,3.57,3.5,3.8,4.29
S214,2,4.2,5.6,5.14,4.2,5.6,5.14,4.7,6,4.71
S215,2,4.8,2.4,6.14,4.8,2.4,6.14,4,2.6,5.71
S216,2,5,4.2,5.29,5,4.2,5.29,3.8,4.2,4
S217,2,5,2.8,2.43,5,2.8,2.43,4.8,2.8,1.29
S218,2,5,4,4.57,5,4,4.57,5.3,4.6,4.86
S219,2,5,4.2,6.57,5,4.2,6.57,4.7,5.6,7
S220,2,4.7,4.8,5.57,4.7,4.8,5.57,5,5,5.71
S221,2,6.1,3.8,6.71,6.1,3.8,6.71,6.5,5.6,6.57
S222,2,4.5,4.6,4.71,4.5,4.6,4.71,5.1,4.4,4
S223,2,4.4,2.4,6.14,4.4,2.4,6.14,3.7,3.2,6
S224,2,6.1,6.8,7,6.1,6.8,7,5,6,7
S225,2,4,4.6,6.29,4,4.6,6.29,2.9,4.4,4.71
S226,2,4,5,5.86,4,5,5.86,4.5,5.6,6.43
S227,2,5.8,4,5.57,5.8,4,5.57,5.8,4.4,5.57
S228,2,4.3,3.4,5.43,4.3,3.4,5.43,3.2,3,3.71
S229,2,5,4,5,5,4,5,5.8,4.6,5.43
S230,2,5.5,2,5.57,5.5,2,5.57,5.3,3.6,5.57
S231,2,5.9,5,6.43,5.9,5,6.43,5.4,5.8,7
S232,2,5.8,4.4,6.29,5.8,4.4,6.29,4.9,4.4,5.71
S233,2,5.1,3.4,5.43,5.1,3.4,5.43,5.3,3,5.86
S234,2,4.3,4.4,4.86,4.3,4.4,4.86,2.8,4.4,4.14
S235,2,4.8,4.6,5,4.8,4.6,5,4.8,5.2,5.43
S236,2,3.7,3.6,4.43,3.7,3.6,4.43,3.6,3.8,4.57
S237,2,5.7,3.4,5.71,5.7,3.4,5.71,3.5,1.6,4.57
S238,2,4.3,4.2,5.14,4.3,4.2,5.14,4.4,3.4,5.29
S239,2,5.4,3.4,4.71,5.4,3.4,4.71,5.5,5,5.14
S240,2,3.3,2.2,2.86,3.3,2.2,2.86,3.7,2.4,3.43
S241,2,5.4,3.6,7,5.4,3.6,7,5.5,3.8,5.86
S242,2,3.6,4.8,6.29,3.6,4.8,6.29,3.7,6.2,6.43
S243,2,6.4,4.6,5.71,6.4,4.6,5.71,5.4,4.2,5.57
S244,2,4.7,5.2,4.86,4.7,5.2,4.86,5.2,5,4.71
S245,2,4.9,2.6,6,4.9,2.6,6,4.9,3.6,6
S246,2,3.8,3.2,4,3.8,3.2,4,3.8,3.6,4.29
S247,2,6.1,4.4,6.86,6.1,4.4,6.86,6.4,5.2,7
S248,2,5.3,4.6,5.43,5.3,4.6,5.43,4.3,5.2,5.57
S249,2,5.8,5,4.86,5.8,5,4.86,4.9,4,5.86
S250,2,2.9,2,3.29,2.9,2,3.29,3.4,2.2,3.43
S251,2,4.7,3.2,4.86,4.7,3.2,4.86,5,4.4,5.57
S252,2,3.5,4.2,4.29,3.5,4.2,4.29,4.2,5,3.43
S253,2,4.5,3.2,6.29,4.5,3.2,6.29,4.6,3.2,6.29
S254,2,3.7,3.2,5.29,3.7,3.2,5.29,4.4,3.8,5.29
S255,2,5.2,3.8,5.57,5.2,3.8,5.57,5.1,3.8,6.86
S256,2,5.3,4.2,5.14,5.3,4.2,5.14,5.4,4.2,5.29
S257,2,3.4,2.2,3.57,3.4,2.2,3.57,3.5,2.4,3.14
S258,2,4.5,3.8,5.71,4.5,3.8,5.71,3.7,5,6.14
S259,2,3.9,3.8,3.57,3.9,3.8,3.57,4.3,4.4,4.29
S260,2,4.6,3.8,5.43,4.6,3.8,5.43,5.3,4.6,5.14
S261,2,6.1,5.2,7,6.1,5.2,7,6.2,5.4,6.14
S262,2,6.4,5.2,6,6.4,5.2,6,6.1,5.6,5.71
S263,2,3.8,3.6,4.86,3.8,3.6,4.86,3.2,4,4.57
S264,2,3.9,3.2,4.29,3.9,3.2,4.29,3.1,3,4.57
S265,2,4.7,4,5.29,4.7,4,5.29,4.2,4.6,5.43
S266,2,2.6,1.8,3.43,2.6,1.8,3.43,2.9,2.8,3.86
S267,2,4.5,3.4,3.43,4.5,3.4,3.43,4.9,4.2,4
S268,2,4.2,3.4,4.71,4.2,3.4,4.71,4.2,4.6,5.14
S269,2,5.5,3,5.43,5.5,3,5.43,5.2,4.4,5.57
S270,2,3.3,2.8,3.86,3.3,2.8,3.86,3.4,3.2,4.71
S271,2,5.1,4.2,6.43,5.1,4.2,6.43,4.2,3.8,6.43
S272,2,4.7,3.8,5,4.7,3.8,5,5.2,3.6,4.86
S273,2,4.3,2.2,3.57,4.3,2.2,3.57,3.7,2.4,4.14
S274,2,5,3.8,5,5,3.8,5,4.9,5,6
S275,2,6.3,5.6,6.86,6.3,5.6,6.86,6,6.6,7
S276,2,5.7,5.4,4.43,5.7,5.4,4.43,6.4,6,5.71
S277,2,4.9,4.2,5.43,4.9,4.2,5.43,5,3.6,5.71
S278,2,5.3,4.2,6.14,5.3,4.2,6.14,5.3,5.4,4.86
